x,Y
0,14.56268650138519
1,-4.420656591620945
2,11.890296305238008
3,15.039108285814585
4,21.30089207560839
5,33.55057114461317
6,55.02382384819148
7,24.991913479871393
8,31.808743212538083
9,69.08325760843789
10,69.59850324722161
11,74.16629414414437
12,72.1733851703129
13,83.57217795557533
14,84.67548392818219
15,74.82484074620153
16,87.65442996484046
17,92.28211217729427
18,98.27684406090223
19,124.04382353838513
20,142.87808880143234
21,145.6531529626709
22,149.89340793703792
23,131.5462792143529
24,134.4951158836597
25,167.96009161844177
26,148.69080923200522
27,186.65760287825785
28,181.89625854374063
29,180.5087684034757
30,187.1374987667215
31,196.76988254910762
32,187.21270275274654
33,196.98802965535756
34,196.43738645374552
35,224.13222396036628
36,221.4570676181155
37,211.9134088657448
38,234.621057060644
39,251.6849725155504
40,260.9095319675293
41,260.0231818637817
42,256.8592108563327
43,264.55592402058676
44,280.26186179133003
45,281.5265011711622
46,298.7051723740229
47,288.25240976248506
48,297.1807752706509
49,308.34537586705574
50,322.8321188607615
51,304.29101292615724
52,328.46606037962084
53,314.28169090237066
54,344.16393959346436
55,330.2053060218474
56,361.9790148969219
57,358.2589753621125
58,369.78725219399416
59,354.46474333907435
60,391.1324596846459
61,365.05161193920935
62,384.82194792807053
63,409.12002529811866
64,413.1201997165969
65,399.31601984905706
66,412.5668957330934
67,411.3979318141814
68,406.053625601876
69,434.61175780036484
70,455.13199569108195
71,436.31848692134236
72,433.1624090254421
73,458.19111415628277
74,474.7825352084588
75,462.21835113058603
76,460.52083861504235
77,466.7337719654732
78,496.3766840614009
79,475.2691350497264
80,485.9023856936094
81,502.4083761182185
82,525.4247347798894
83,531.8547558338277
84,525.5193017919102
85,538.0991438948762
86,545.2422249595659
87,552.4569096991993
88,547.8161111973424
89,559.9785458058669
90,563.8946160378949
91,553.6119583871704
92,571.6714883539826
93,566.5706220759785
94,571.1986031901944
95,601.984158069934
96,619.657370050914
97,625.5886518667035
98,623.0099653429445
99,628.6296568395194
100,615.9479983012184
101,633.746529764053
102,640.139221273371
103,623.7919723630624
104,663.2859744390829
105,671.6517577230253
106,669.8438960576469
107,682.8966849780204
108,687.1233723019951
109,695.1027474279199
110,681.5614182303967
111,708.9548226878937
112,694.7963244265233
113,690.5659116154783
114,720.0168817364565
115,718.8215111163247
116,743.8547604089208
117,745.9678285755099
118,738.7581174143497
119,748.6252476061649
120,746.6548801503897
121,753.9392969137954
122,777.0739678727363
123,773.9099335467056
124,785.6078493183333
125,797.7401816016677
126,802.2919760072084
127,780.8092293096297
128,817.2099070877749
129,806.6372669099468
130,827.487518832656
131,808.1816562216916
132,812.8270226901872
133,837.5105595646133
134,845.7864121885448
135,829.1700477324464
136,848.1770836275948
137,846.2831318293661
138,857.708663043034
139,863.531798924058
140,880.8666727033458
141,870.3386276697255
142,889.4029430406798
143,881.3216902106881
144,917.3999150697146
145,886.7458806464631
146,895.7675023017847
147,926.1047834238717
148,912.1708696163759
149,913.4736755040838
150,945.0252354034452
151,938.1494851093531
152,931.6308965108177
153,967.9996044690108
154,978.9566568746876
155,968.1142803629109
156,985.3666389733528
157,977.8655194001848
158,992.9581945266234
159,983.7310170441549
160,992.5459073680768
161,1010.6998614383501
162,1000.274667947733
163,1015.5895463397692
164,1018.8944066802944
165,1032.8338018728139
166,1023.5871862811465
167,1023.43974745352
168,1036.2607898222686
169,1039.1440423103247
170,1064.4479615954529
171,1085.4968452231244
172,1072.8545438837875
173,1098.8386935372941
174,1068.0626551796681
175,1077.567364948914
176,1093.5748549782381
177,1101.5965115422723
178,1099.7185123897727
179,1114.7799517116473
180,1110.4223390964653
181,1110.706015057137
182,1153.360528044266
183,1123.6376719790298
184,1153.9341765502525
185,1153.9041860095103
186,1170.1575030545216
187,1155.537729108743
188,1180.831434025615
189,1184.254866676177
190,1180.9013503328347
191,1199.6622575686724
192,1199.928535513934
193,1209.7109144146957
194,1206.4586425389039
195,1212.5451447174687
196,1228.070720125939
197,1212.9016545925872
198,1237.3625012784798
199,1241.1289426936994
